frequency_MHz,psd_dB
2413.4902,-21.09
2413.5000,-21.07
2413.5098,-20.96
2413.5195,-20.84
2413.5293,-20.79
2413.5391,-20.74
2413.5488,-20.58
2413.5586,-20.43
2413.5684,-20.58
2413.5781,-20.72
2413.5879,-20.79
2413.5977,-20.85
2413.6074,-20.82
2413.6172,-20.79
2413.6270,-20.81
2413.6367,-20.83
2413.6465,-20.84
2413.6562,-20.84
2413.6660,-20.96
2413.6758,-21.09
2413.6855,-21.22
2413.6953,-21.35
2413.7051,-21.18
2413.7148,-21.01
2413.7246,-20.96
2413.7344,-20.90
2413.7441,-20.99
2413.7539,-21.07
2413.7637,-20.95
2413.7734,-20.83
2413.7832,-20.74
2413.7930,-20.65
2413.8027,-20.51
2413.8125,-20.37
2413.8223,-20.31
2413.8320,-20.25
2413.8418,-20.25
2413.8516,-20.25
2413.8613,-20.15
2413.8711,-20.04
2413.8809,-20.23
2413.8906,-20.42
2413.9004,-20.55
2413.9102,-20.68
2413.9199,-20.63
2413.9297,-20.58
2413.9395,-20.67
2413.9492,-20.76
2413.9590,-20.94
2413.9688,-21.12
2413.9785,-21.31
2413.9883,-21.49
2413.9980,-21.57
2414.0078,-21.65
2414.0176,-21.58
2414.0273,-21.51
2414.0371,-21.46
2414.0469,-21.41
2414.0566,-21.47
2414.0664,-21.53
2414.0762,-21.61
2414.0859,-21.68
2414.0957,-21.54
2414.1055,-21.39
2414.1152,-21.15
2414.1250,-20.91
2414.1348,-20.96
2414.1445,-21.01
2414.1543,-20.97
2414.1641,-20.93
2414.1738,-20.90
2414.1836,-20.87
2414.1934,-20.92
2414.2031,-20.96
2414.2129,-21.04
2414.2227,-21.12
2414.2324,-21.23
2414.2422,-21.33
2414.2520,-21.33
2414.2617,-21.33
2414.2715,-21.54
2414.2812,-21.74
2414.2910,-21.98
2414.3008,-22.22
2414.3105,-22.20
2414.3203,-22.19
2414.3301,-22.22
2414.3398,-22.25
2414.3496,-22.30
2414.3594,-22.34
2414.3691,-22.38
2414.3789,-22.43
2414.3887,-22.48
2414.3984,-22.54
2414.4082,-22.37
2414.4180,-22.20
2414.4277,-22.02
2414.4375,-21.84
2414.4473,-21.88
2414.4570,-21.91
2414.4668,-21.80
2414.4766,-21.69
2414.4863,-21.73
2414.4961,-21.77
2414.5059,-21.76
2414.5156,-21.74
2414.5254,-21.79
2414.5352,-21.84
2414.5449,-21.81
2414.5547,-21.78
2414.5645,-21.97
2414.5742,-22.15
2414.5840,-22.32
2414.5938,-22.49
2414.6035,-22.50
2414.6133,-22.51
2414.6230,-22.57
2414.6328,-22.64
2414.6426,-22.70
2414.6523,-22.75
2414.6621,-22.89
2414.6719,-23.02
2414.6816,-23.18
2414.6914,-23.33
2414.7012,-23.21
2414.7109,-23.09
2414.7207,-23.00
2414.7305,-22.91
2414.7402,-23.06
2414.7500,-23.22
2414.7598,-23.13
2414.7695,-23.04
2414.7793,-22.96
2414.7891,-22.88
2414.7988,-22.85
2414.8086,-22.81
2414.8184,-22.85
2414.8281,-22.89
2414.8379,-22.99
2414.8477,-23.10
2414.8574,-23.02
2414.8672,-22.94
2414.8770,-23.25
2414.8867,-23.55
2414.8965,-23.73
2414.9062,-23.91
2414.9160,-23.85
2414.9258,-23.79
2414.9355,-23.80
2414.9453,-23.81
2414.9551,-24.00
2414.9648,-24.19
2414.9746,-24.40
2414.9844,-24.61
2414.9941,-24.72
2415.0039,-24.84
2415.0137,-24.78
2415.0234,-24.72
2415.0332,-24.65
2415.0430,-24.58
2415.0527,-24.62
2415.0625,-24.65
2415.0723,-24.90
2415.0820,-25.14
2415.0918,-25.18
2415.1016,-25.22
2415.1113,-24.96
2415.1211,-24.71
2415.1309,-24.85
2415.1406,-24.99
2415.1504,-25.05
2415.1602,-25.12
2415.1699,-25.12
2415.1797,-25.13
2415.1895,-25.23
2415.1992,-25.32
2415.2090,-25.41
2415.2188,-25.50
2415.2285,-25.67
2415.2383,-25.83
2415.2480,-25.70
2415.2578,-25.57
2415.2676,-25.56
2415.2773,-25.54
2415.2871,-25.77
2415.2969,-26.01
2415.3066,-25.87
2415.3164,-25.73
2415.3262,-25.58
2415.3359,-25.44
